person_id,demographic,demographic_value
df2ace66-35d1-4007-b3fe-d36248acfc74,age,younger
df2ace66-35d1-4007-b3fe-d36248acfc74,ethnicity,white
df2ace66-35d1-4007-b3fe-d36248acfc74,education,older
df2ace66-35d1-4007-b3fe-d36248acfc74,income,middle
df2ace66-35d1-4007-b3fe-d36248acfc74,movement,no
df2ace66-35d1-4007-b3fe-d36248acfc74,dog,yes
df2ace66-35d1-4007-b3fe-d36248acfc74,children,no
df2ace66-35d1-4007-b3fe-d36248acfc74,garden,yes
8998dca4-b7f9-461a-ac2d-5bb5a759df0c,global,global
8998dca4-b7f9-461a-ac2d-5bb5a759df0c,gender,woman
8998dca4-b7f9-461a-ac2d-5bb5a759df0c,age,middle
8998dca4-b7f9-461a-ac2d-5bb5a759df0c,ethnicity,white
8998dca4-b7f9-461a-ac2d-5bb5a759df0c,education,older
8998dca4-b7f9-461a-ac2d-5bb5a759df0c,dog,yes
8998dca4-b7f9-461a-ac2d-5bb5a759df0c,children,no
8998dca4-b7f9-461a-ac2d-5bb5a759df0c,garden,yes
d3ff6cec-c01f-46b4-bcbb-c1384631718f,global,global
d3ff6cec-c01f-46b4-bcbb-c1384631718f,gender,man
d3ff6cec-c01f-46b4-bcbb-c1384631718f,age,middle
d3ff6cec-c01f-46b4-bcbb-c1384631718f,ethnicity,white
d3ff6cec-c01f-46b4-bcbb-c1384631718f,education,older
d3ff6cec-c01f-46b4-bcbb-c1384631718f,income,higher
d3ff6cec-c01f-46b4-bcbb-c1384631718f,movement,no
d3ff6cec-c01f-46b4-bcbb-c1384631718f,dog,no
d3ff6cec-c01f-46b4-bcbb-c1384631718f,children,no
d3ff6cec-c01f-46b4-bcbb-c1384631718f,garden,yes
a9d41f8e-8206-4e96-b75b-c6fe9787d4b9,global,global
a9d41f8e-8206-4e96-b75b-c6fe9787d4b9,gender,man
a9d41f8e-8206-4e96-b75b-c6fe9787d4b9,age,middle
a9d41f8e-8206-4e96-b75b-c6fe9787d4b9,ethnicity,white
a9d41f8e-8206-4e96-b75b-c6fe9787d4b9,education,older
a9d41f8e-8206-4e96-b75b-c6fe9787d4b9,income,higher
a9d41f8e-8206-4e96-b75b-c6fe9787d4b9,movement,yes
a9d41f8e-8206-4e96-b75b-c6fe9787d4b9,dog,yes
a9d41f8e-8206-4e96-b75b-c6fe9787d4b9,children,no
a9d41f8e-8206-4e96-b75b-c6fe9787d4b9,garden,yes
0928ddec-5563-4b4e-bd9f-09d9ce760b99,global,global
0928ddec-5563-4b4e-bd9f-09d9ce760b99,gender,man
0928ddec-5563-4b4e-bd9f-09d9ce760b99,age,middle
0928ddec-5563-4b4e-bd9f-09d9ce760b99,ethnicity,white
0928ddec-5563-4b4e-bd9f-09d9ce760b99,education,older
0928ddec-5563-4b4e-bd9f-09d9ce760b99,income,higher
0928ddec-5563-4b4e-bd9f-09d9ce760b99,movement,no
0928ddec-5563-4b4e-bd9f-09d9ce760b99,dog,no
0928ddec-5563-4b4e-bd9f-09d9ce760b99,children,no
0928ddec-5563-4b4e-bd9f-09d9ce760b99,garden,yes
35abf61d-c5ec-425b-b454-2fd6e54b3ec6,global,global
35abf61d-c5ec-425b-b454-2fd6e54b3ec6,gender,man
35abf61d-c5ec-425b-b454-2fd6e54b3ec6,age,middle
35abf61d-c5ec-425b-b454-2fd6e54b3ec6,ethnicity,white
35abf61d-c5ec-425b-b454-2fd6e54b3ec6,education,older
35abf61d-c5ec-425b-b454-2fd6e54b3ec6,income,higher
35abf61d-c5ec-425b-b454-2fd6e54b3ec6,movement,no
35abf61d-c5ec-425b-b454-2fd6e54b3ec6,dog,no
35abf61d-c5ec-425b-b454-2fd6e54b3ec6,children,yes
35abf61d-c5ec-425b-b454-2fd6e54b3ec6,garden,yes
eb1da00c-5dc8-44e3-9de5-5f450fccbbba,global,global
eb1da00c-5dc8-44e3-9de5-5f450fccbbba,gender,woman
eb1da00c-5dc8-44e3-9de5-5f450fccbbba,age,younger
eb1da00c-5dc8-44e3-9de5-5f450fccbbba,ethnicity,white
eb1da00c-5dc8-44e3-9de5-5f450fccbbba,education,older
eb1da00c-5dc8-44e3-9de5-5f450fccbbba,income,middle
eb1da00c-5dc8-44e3-9de5-5f450fccbbba,movement,no
eb1da00c-5dc8-44e3-9de5-5f450fccbbba,dog,no
eb1da00c-5dc8-44e3-9de5-5f450fccbbba,children,no
eb1da00c-5dc8-44e3-9de5-5f450fccbbba,garden,yes
f6480d29-2d1e-4aee-b6bf-fdd282ab48b0,global,global
f6480d29-2d1e-4aee-b6bf-fdd282ab48b0,gender,man
f6480d29-2d1e-4aee-b6bf-fdd282ab48b0,age,younger
f6480d29-2d1e-4aee-b6bf-fdd282ab48b0,ethnicity,white
f6480d29-2d1e-4aee-b6bf-fdd282ab48b0,education,older
f6480d29-2d1e-4aee-b6bf-fdd282ab48b0,movement,no
f6480d29-2d1e-4aee-b6bf-fdd282ab48b0,dog,yes
f6480d29-2d1e-4aee-b6bf-fdd282ab48b0,children,yes
f6480d29-2d1e-4aee-b6bf-fdd282ab48b0,garden,yes
50d2d93b-5d9a-49e2-9425-1a712336f82c,global,global
50d2d93b-5d9a-49e2-9425-1a712336f82c,gender,man
50d2d93b-5d9a-49e2-9425-1a712336f82c,age,middle
50d2d93b-5d9a-49e2-9425-1a712336f82c,education,older
50d2d93b-5d9a-49e2-9425-1a712336f82c,movement,yes
50d2d93b-5d9a-49e2-9425-1a712336f82c,dog,no
50d2d93b-5d9a-49e2-9425-1a712336f82c,children,no
50d2d93b-5d9a-49e2-9425-1a712336f82c,garden,yes
d10ecfa4-df1d-4bc9-994c-419477da14ac,global,global
d10ecfa4-df1d-4bc9-994c-419477da14ac,gender,man
d10ecfa4-df1d-4bc9-994c-419477da14ac,age,younger
d10ecfa4-df1d-4bc9-994c-419477da14ac,education,older
d10ecfa4-df1d-4bc9-994c-419477da14ac,income,middle
d10ecfa4-df1d-4bc9-994c-419477da14ac,movement,no
d10ecfa4-df1d-4bc9-994c-419477da14ac,dog,no
d10ecfa4-df1d-4bc9-994c-419477da14ac,children,no
d10ecfa4-df1d-4bc9-994c-419477da14ac,garden,no
aed1359a-7b78-429e-9e58-1390f275e9e5,global,global
aed1359a-7b78-429e-9e58-1390f275e9e5,gender,man
aed1359a-7b78-429e-9e58-1390f275e9e5,age,younger
aed1359a-7b78-429e-9e58-1390f275e9e5,ethnicity,white
aed1359a-7b78-429e-9e58-1390f275e9e5,education,older
aed1359a-7b78-429e-9e58-1390f275e9e5,income,middle
aed1359a-7b78-429e-9e58-1390f275e9e5,movement,no
aed1359a-7b78-429e-9e58-1390f275e9e5,dog,no
aed1359a-7b78-429e-9e58-1390f275e9e5,children,no
aed1359a-7b78-429e-9e58-1390f275e9e5,garden,no
4bd82ee3-732f-453d-ae4c-59f81d084b5a,global,global
4bd82ee3-732f-453d-ae4c-59f81d084b5a,gender,man
4bd82ee3-732f-453d-ae4c-59f81d084b5a,age,younger
4bd82ee3-732f-453d-ae4c-59f81d084b5a,ethnicity,white
4bd82ee3-732f-453d-ae4c-59f81d084b5a,education,older
4bd82ee3-732f-453d-ae4c-59f81d084b5a,income,middle
4bd82ee3-732f-453d-ae4c-59f81d084b5a,movement,no
4bd82ee3-732f-453d-ae4c-59f81d084b5a,dog,no
4bd82ee3-732f-453d-ae4c-59f81d084b5a,children,no
4bd82ee3-732f-453d-ae4c-59f81d084b5a,garden,yes
0124c541-82db-4b59-9fcf-1670620b6c63,global,global
0124c541-82db-4b59-9fcf-1670620b6c63,gender,man
0124c541-82db-4b59-9fcf-1670620b6c63,age,younger
0124c541-82db-4b59-9fcf-1670620b6c63,ethnicity,white
0124c541-82db-4b59-9fcf-1670620b6c63,education,older
0124c541-82db-4b59-9fcf-1670620b6c63,income,higher
0124c541-82db-4b59-9fcf-1670620b6c63,movement,no
0124c541-82db-4b59-9fcf-1670620b6c63,dog,no
0124c541-82db-4b59-9fcf-1670620b6c63,children,no
0124c541-82db-4b59-9fcf-1670620b6c63,garden,yes
445655b6-cdc3-4c4c-9ab8-e89b9acf36ef,global,global
445655b6-cdc3-4c4c-9ab8-e89b9acf36ef,gender,woman
445655b6-cdc3-4c4c-9ab8-e89b9acf36ef,age,older
445655b6-cdc3-4c4c-9ab8-e89b9acf36ef,ethnicity,white
445655b6-cdc3-4c4c-9ab8-e89b9acf36ef,education,older
445655b6-cdc3-4c4c-9ab8-e89b9acf36ef,income,middle
445655b6-cdc3-4c4c-9ab8-e89b9acf36ef,movement,no
445655b6-cdc3-4c4c-9ab8-e89b9acf36ef,dog,no
445655b6-cdc3-4c4c-9ab8-e89b9acf36ef,children,no
445655b6-cdc3-4c4c-9ab8-e89b9acf36ef,garden,yes
86205176-f642-435c-8d49-6ee03e6768ae,global,global
86205176-f642-435c-8d49-6ee03e6768ae,gender,woman
86205176-f642-435c-8d49-6ee03e6768ae,age,younger
86205176-f642-435c-8d49-6ee03e6768ae,ethnicity,white
86205176-f642-435c-8d49-6ee03e6768ae,education,older
86205176-f642-435c-8d49-6ee03e6768ae,income,higher
86205176-f642-435c-8d49-6ee03e6768ae,movement,no
86205176-f642-435c-8d49-6ee03e6768ae,dog,no
86205176-f642-435c-8d49-6ee03e6768ae,children,no
86205176-f642-435c-8d49-6ee03e6768ae,garden,yes
6551b245-caa6-44b2-bd84-a78df445abd9,global,global
6551b245-caa6-44b2-bd84-a78df445abd9,gender,man
6551b245-caa6-44b2-bd84-a78df445abd9,age,younger
6551b245-caa6-44b2-bd84-a78df445abd9,ethnicity,white
6551b245-caa6-44b2-bd84-a78df445abd9,education,older
6551b245-caa6-44b2-bd84-a78df445abd9,income,lower
6551b245-caa6-44b2-bd84-a78df445abd9,movement,yes
6551b245-caa6-44b2-bd84-a78df445abd9,dog,yes
6551b245-caa6-44b2-bd84-a78df445abd9,children,no
6551b245-caa6-44b2-bd84-a78df445abd9,garden,no
3ce9b300-e396-4b35-8a2c-ee2155367fc4,global,global
3ce9b300-e396-4b35-8a2c-ee2155367fc4,gender,man
3ce9b300-e396-4b35-8a2c-ee2155367fc4,age,middle
3ce9b300-e396-4b35-8a2c-ee2155367fc4,ethnicity,white
3ce9b300-e396-4b35-8a2c-ee2155367fc4,education,older
3ce9b300-e396-4b35-8a2c-ee2155367fc4,income,higher
3ce9b300-e396-4b35-8a2c-ee2155367fc4,movement,no
3ce9b300-e396-4b35-8a2c-ee2155367fc4,dog,no
3ce9b300-e396-4b35-8a2c-ee2155367fc4,children,no
3ce9b300-e396-4b35-8a2c-ee2155367fc4,garden,yes
3b59177f-2c3d-40b5-92ab-340dc28b6afb,global,global
3b59177f-2c3d-40b5-92ab-340dc28b6afb,gender,woman
3b59177f-2c3d-40b5-92ab-340dc28b6afb,age,younger
3b59177f-2c3d-40b5-92ab-340dc28b6afb,ethnicity,white
3b59177f-2c3d-40b5-92ab-340dc28b6afb,education,older
3b59177f-2c3d-40b5-92ab-340dc28b6afb,income,higher
3b59177f-2c3d-40b5-92ab-340dc28b6afb,movement,no
3b59177f-2c3d-40b5-92ab-340dc28b6afb,dog,yes
3b59177f-2c3d-40b5-92ab-340dc28b6afb,children,no
3b59177f-2c3d-40b5-92ab-340dc28b6afb,garden,yes
0f666181-b27f-407c-8d73-04b5738e168f,global,global
0f666181-b27f-407c-8d73-04b5738e168f,gender,man
0f666181-b27f-407c-8d73-04b5738e168f,age,middle
0f666181-b27f-407c-8d73-04b5738e168f,ethnicity,white
0f666181-b27f-407c-8d73-04b5738e168f,education,older
0f666181-b27f-407c-8d73-04b5738e168f,income,higher
0f666181-b27f-407c-8d73-04b5738e168f,movement,no
0f666181-b27f-407c-8d73-04b5738e168f,dog,no
0f666181-b27f-407c-8d73-04b5738e168f,children,yes
0f666181-b27f-407c-8d73-04b5738e168f,garden,yes
a50888d3-2fb0-4002-bc0f-30f7fc86e420,global,global
a50888d3-2fb0-4002-bc0f-30f7fc86e420,gender,woman
a50888d3-2fb0-4002-bc0f-30f7fc86e420,age,younger
a50888d3-2fb0-4002-bc0f-30f7fc86e420,ethnicity,white
a50888d3-2fb0-4002-bc0f-30f7fc86e420,education,older
